ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5639.2033       411.9237         0.0000         0.0000       918.4244          -4308.8552       291.7754     -5227.2796     -4305.3616       293.2556              0.8143        22.7188     22455.6917      -218.0118      -217.8312
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5632.5893       389.4721         0.0000         0.0000       924.7917          -4318.3255       293.7982     -5243.1173     -4315.8674       295.3645           -482.2786      -463.5874     22564.6300      -188.5564      -188.5635
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5649.5714       416.2694         0.0000         0.0000       908.5331          -4324.7689       288.6330     -5233.3020     -4322.9250       294.4528            -75.1300       -56.1946     22655.3447      -221.8465      -221.9174
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5665.5268       422.6900         0.0000         0.0000       959.8735          -4282.9633       304.9434     -5242.8368     -4279.7447       295.8423           -134.7508      -112.7219     22725.8272      -203.2299      -203.1374
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5625.6562       365.9423         0.0000         0.0000       918.8084          -4340.9055       291.8973     -5259.7139     -4338.9575       294.6716           -483.9038      -470.1235     22608.1748      -206.8207      -206.7613
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5576.7299       349.9407         0.0000         0.0000       934.5500          -4292.2393       296.8983     -5226.7892     -4288.9101       296.7389           -675.4610      -660.7582     22467.6042      -159.1816      -159.1657
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5525.5055       341.5253         0.0000         0.0000       939.6329          -4244.3473       298.5131     -5183.9802     -4242.0777       298.4862           -486.8383      -460.3500     22727.9333      -189.1694      -189.1660
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5590.0642       380.9312         0.0000         0.0000       952.2242          -4256.9088       302.5133     -5209.1330     -4255.1661       300.9060           -134.6437      -109.9830     22669.3930      -217.6259      -217.5082
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5576.9073       365.2632         0.0000         0.0000       939.9070          -4271.7371       298.6002     -5211.6441     -4268.5081       301.5386           -393.4363      -370.0525     22890.2181      -193.2478      -193.1349
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5561.8851       372.2659         0.0000         0.0000       949.9873          -4239.6319       301.8026     -5189.6192     -4237.4767       299.5505           -219.9344      -186.5039     22564.0808      -273.1043      -273.0921
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5640.6363       442.9678         0.0000         0.0000       989.8013          -4207.8672       314.4512     -5197.6685     -4206.7853       303.9247            509.0839       521.6501     22666.8565      -241.3735      -241.2882
